sentences,dists
"Mr Howard 1991 Heisman Trophy college football 's greatest player season University Michigan . He react on-air sign , anyone ESPN .",-7.843134849590042 -7.275926586267558 -7.820197374498924 -7.852512933893951 -7.886785481051004 -5.985814367446084 -5.51677570912726 -inf -7.886227038099168 -5.7768302531022275 -7.8489339960472835 -5.436079017216711 -5.987730661037161 -inf -6.123982683482817 -7.831822587509061 -7.149784765336414 -5.6014285874009095 -inf -7.850882574606134 -6.903698517599458 -inf
"She loved country music : Pictured Keith Urban concert , Lizzy Seeberg buried hat suicide , according reports",-7.798458747462465 -7.853617799908383 -7.831593676963182 -6.902842672814928 -inf -7.853237262891295 -7.863004184230862 -7.821379380804745 -7.846690647913244 -inf -5.987743741451911 -5.041604439641932 -7.807811362315608 -7.780036040543051 -7.278140927637766 -inf -6.266253095897362 -9.128771456571911
"Reaction online sign fast furious , one appeared appreciate apparent jab young girl killed allegedly sexually assaulted .",-7.871523971127191 -7.24466562533093 -5.6014285874009095 -7.843232078312868 -7.82073186164807 -inf -5.975303777804589 -6.633535925358982 -7.849186771792422 -7.860969853508673 -7.830544527473335 -6.25337392423377 -5.983059699949629 -7.268526221842671 -7.835839840389715 -7.2590549931523665 -7.8462588959105055 -inf
` `` Hi Lizzy Seeberg . '' So disrespectful . How espn let get TV . ' -LRB- sic -RRB- tweeted @SutterHomeWhine .,-inf -inf -6.4272102406927125 -5.987743741451911 -5.041604439641932 -inf -inf -7.246540642482057 -7.8522636222152435 -inf -7.850793105014929 -6.903698517599458 -7.838162354764454 -6.435174499951806 -7.859684717204636 -inf -inf -5.300198655388769 -6.92279547313574 -5.304967795466348 -6.906651935459316 -7.842747309329923 -inf
"` Why HELL would someone come @CollegeGameDay `` Hi Lizzy Seeburg '' sign ??!? #Tasteless #NoRespect #GrowUp , ' -LRB- sic -RRB- tweeted @skrayyy .",-inf -7.810913526708784 -7.8349630435797755 -6.243383384491149 -6.63618219230738 -7.27776986846153 -7.849831724384143 -inf -6.4272102406927125 -5.987743741451911 -6.912007587340082 -inf -5.6014285874009095 -inf -7.848597615236099 -7.858796536995885 -7.892932988871322 -inf -inf -5.300198655388769 -6.92279547313574 -5.304967795466348 -6.906651935459316 -7.847098979467968 -inf
"The knee-jerk reaction ` You stay classy , Michigan , ' also tweeted .",-4.813336632402851 -7.164183894661829 -7.871523971127191 -inf -7.288043841039593 -7.805360915173029 -7.829433457521115 -inf -5.987730661037161 -inf -inf -6.870610608772714 -6.906651935459316 -inf
"Realizing ` statement ' taken way n't intended , student held sign emailed Deadspin explanation .",-7.842293589040311 -inf -7.867230527847922 -inf -6.914572854230579 -6.4418064527653 -inf -7.832625624220253 -inf -6.113834255907705 -6.89409675962842 -5.6014285874009095 -7.843128077011878 -6.915715715409515 -7.841720576085984 -inf
"Calling entire ordeal ` unacceptable , ' letter 's author writes 's ` unacceptable eyes college football fans , whatever , unacceptable eyes society . Notre Dame better . We , people , better . '",-7.861093291416723 -7.867669625714612 -7.859228048730747 -inf -6.642823960106749 -inf -inf -6.263337626304226 -inf -7.853228730832917 -7.85602079042146 -inf -inf -6.642823960106749 -7.259367048118494 -5.985814367446084 -5.51677570912726 -7.8506679168661035 -inf -7.29648398155772 -inf -6.642823960106749 -7.259367048118494 -7.882947195146883 -inf -4.797478619735363 -4.758043385292706 -7.262394143625746 -inf -6.649123050320962 -inf -5.679732733946213 -inf -7.262394143625746 -inf -inf
Referencing open secret ` systemic culture sexual assault puts Notre Dame bad light . It 's also culture dismissal denial pervades university . ',-7.834774921832672 -7.853047603660056 -7.83595941330863 -inf -7.8069772522950105 -7.269061844557272 -5.510507286530557 -5.992254103365342 -7.823667097337719 -4.797478619735363 -4.758043385292706 -7.255651038638813 -7.810127356880661 -inf -6.4323059067903765 -inf -6.870610608772714 -7.269061844557272 -7.83405077533937 -7.834095630249059 -7.829258201134098 -5.436079017216711 -inf -inf
"` Notre Dame , since day one , spent lot time covering . From non-statements priest , anger President Jenkins , Notre Dame n't officially said anything , ' wrote .",-inf -4.797478619735363 -4.758043385292706 -inf -7.782946862282204 -6.9340926857530345 -5.975303777804589 -inf -7.2656626728628115 -7.8557082926450885 -6.443461174803561 -7.861304036078493 -inf -7.876115609648122 -6.823069841175016 -7.888872836514752 -inf -7.8402858339752735 -7.840506823659538 -7.872495797620166 -inf -4.797478619735363 -4.758043385292706 -inf -7.8374543367307 -5.1911203522989995 -6.667712655131257 -inf -inf -5.889001183311737 -inf
"The letter writer , hitting stride , notes texts Ms Seeburg received friend telling alleged assault .",-4.813336632402851 -6.263337626304226 -7.26960661504349 -inf -7.811502372888727 -7.876103751901993 -inf -7.821867579549139 -7.847436822733616 -5.441233008173473 -6.912007587340082 -7.763655891263633 -7.856647308565963 -7.8080698002111495 -5.992586718114383 -5.992254103365342 -inf
A devout Catholic : Ms Seeberg saving marriage said football player 's alleged demands lap dance left uncomfortable ` n't know ',-inf -7.2642686576176345 -6.2567244313120804 -inf -5.441233008173473 -5.041604439641932 -7.272426037003181 -7.26875410820235 -5.1911203522989995 -5.51677570912726 -5.7768302531022275 -inf -5.992586718114383 -7.762909078042407 -6.651166709019982 -6.900872433706645 -6.888238471644842 -6.9163644485363145 -inf -inf -6.42834257702319 -inf
"` Do n't anything would regret , ' 'M essing notre dame football bad idea . ' -LRB- sic -RRB-",-inf -7.8261986064528815 -inf -6.667712655131257 -6.243383384491149 -7.889843408806054 -inf -inf -inf -7.85276577963089 -4.797478619735363 -4.758043385292706 -5.51677570912726 -7.255651038638813 -7.847954051165207 -inf -inf -5.300198655388769 -6.92279547313574 -5.304967795466348
"` In short , -LSB- sign -RSB- done show n't forgotten , people know care story . Even school refuses acknowledge , people , ' wrote letter .",-inf -6.911192920341772 -7.275216921445444 -inf -7.80471489195796 -5.6014285874009095 -7.779069929857665 -7.7943634544257705 -6.106940549503581 -inf -7.870500616485753 -inf -5.679732733946213 -6.42834257702319 -7.817563492239617 -7.285322700732351 -inf -5.999348534131445 -6.108771581039523 -7.851691625811069 -6.644504556990628 -inf -5.679732733946213 -inf -inf -5.889001183311737 -6.263337626304226 -inf
"With last time Notre Dame likely ever play University Michigan 's ` Big House , ' student decided Saturday time make point .",-7.866216212362052 -6.619569024672159 -6.443461174803561 -4.797478619735363 -4.758043385292706 -7.80237136158824 -7.271142208008791 -7.845225010941774 -5.436079017216711 -5.987730661037161 -inf -inf -7.841480878123587 -6.42818097449347 -inf -inf -6.113834255907705 -7.851311547918769 -6.651974354255322 -6.443461174803561 -6.900544586397674 -6.435257624277061 -inf
"` We , Michigan , never chance say anything disgraceful farce university , today . So , I . Because right thing , ' wrote .",-inf -6.649123050320962 -inf -5.987730661037161 -inf -6.276541454201129 -7.825386676708566 -7.235466100582559 -6.667712655131257 -7.869746990918761 -7.86655219098166 -5.436079017216711 -inf -7.826170769378801 -inf -7.246540642482057 -inf -inf -inf -7.861433571859983 -6.241333070359458 -7.265781454412449 -inf -inf -5.889001183311737 -inf
"` Everyone important , Notre Dame . Everyone value , Notre Dame . You n't treat victim way , family way , Notre Dame . And n't , called , ' later added .",-inf -6.900276766374521 -7.849946942741534 -inf -4.797478619735363 -4.758043385292706 -inf -6.900276766374521 -7.262804171176108 -inf -4.797478619735363 -4.758043385292706 -inf -7.288043841039593 -inf -7.25715046650754 -7.271260555045163 -6.4418064527653 -inf -6.116357811943369 -6.4418064527653 -inf -4.797478619735363 -4.758043385292706 -inf -7.2758907056978765 -inf -inf -7.868806421556717 -inf -inf -6.269644049057799 -6.901627252910082 -inf
"The student urges people donate mission set Ms Seeberg 's family honor , way remember endless charity work help Chicago 's poor less fortunate , school 's legacy fund name -- says donated $ 25 , ` cost Michigan/Notre Dame gameday t-shirt . '",-4.813336632402851 -6.113834255907705 -7.8448099810979315 -5.679732733946213 -7.866937368985969 -7.8436135232118795 -7.2652539664775055 -5.441233008173473 -5.041604439641932 -inf -6.116357811943369 -7.823677586536401 -inf -6.4418064527653 -7.825157243953011 -7.84353640534832 -7.811764269974377 -7.2776009771940755 -7.857018949930006 -7.274004379444452 -inf -7.285816445543877 -7.249615158528854 -7.855434009589808 -inf -6.108771581039523 -inf -7.847024045586423 -7.274192923244797 -6.898286390785474 -inf -6.9053994890997545 -7.827085595003759 -inf -7.259995907622962 -inf -inf -7.829424129108012 -4.531931274797753 -4.758043385292706 -6.909300424232621 -7.840290744114376 -inf -inf
Ms Seeberg 's story took months made public accused Notre Dame football player sexual assault . The allegations detailed police report obtained National Catholic Reporter .,-5.441233008173473 -5.041604439641932 -inf -7.285322700732351 -7.262460518862616 -7.2916050809936985 -6.103300809650919 -6.427435377734463 -6.259820874441973 -4.797478619735363 -4.758043385292706 -5.51677570912726 -5.7768302531022275 -5.510507286530557 -5.992254103365342 -inf -4.813336632402851 -6.115734667397615 -7.795133988626947 -7.842753490059987 -6.449702131963739 -7.846766275206563 -6.905884234943745 -6.2567244313120804 -7.275151175498577 -inf
"The aggressor : Notre Dame officials tried paint aggressor , saying actions woman scorned",-4.813336632402851 -7.249089358868269 -inf -4.797478619735363 -4.758043385292706 -6.644474748229062 -7.846298525352527 -7.808918014853906 -7.249089358868269 -inf -7.277246513954652 -7.271194943998457 -6.927142137287946 -7.272493588260418
"` He started sucking neck I started crying harder , ' Ms Seeberg wrote report , according NCR . ` He pulled tank top straps . He slipped shoulders proceeded suck lick right breast holding lap arms , ' continued .",-inf -6.123982683482817 -7.275975484576529 -7.848737433217802 -7.822332199059725 -inf -7.275975484576529 -7.27829273271418 -7.837102340651619 -inf -inf -5.441233008173473 -5.041604439641932 -5.889001183311737 -6.449702131963739 -inf -6.266253095897362 -5.765388650120081 -inf -inf -6.123982683482817 -7.282720653158608 -7.822880890396179 -7.843936170004506 -7.832935684384114 -inf -6.123982683482817 -7.8381993457004135 -7.853387879688137 -7.859974800236878 -7.84632711574064 -7.840932906097026 -6.241333070359458 -7.80191047087585 -7.863327765786809 -6.651166709019982 -7.837010493100895 -inf -inf -7.819914024452971 -inf
"' I felt hands start move towards shorts trying unbutton pull . I still crying point felt scared I could n't move , ' report said .",-inf -inf -6.632292499538368 -7.254553828799065 -7.827688125703252 -6.883590055432067 -7.273650379832775 -7.868129808261553 -7.824792264994897 -7.852850227123034 -7.82370702827851 -inf -inf -6.911117673209033 -7.27829273271418 -6.435257624277061 -6.632292499538368 -7.867843268103423 -inf -6.656991005770039 -inf -6.883590055432067 -inf -inf -6.449702131963739 -5.1911203522989995 -inf
"The prosecutor declined bring charges case Ms Seeberg killed , , NCR points , fairly common instance accuser taking life witness alleged crime .",-4.813336632402851 -7.268598538080319 -7.8485887653139175 -6.923547167842542 -7.28218597326948 -6.261510606455229 -5.441233008173473 -5.041604439641932 -7.268526221842671 -inf -inf -5.765388650120081 -7.82995409980174 -inf -7.866594481603146 -7.867055165441916 -7.889052302378978 -7.868238360026463 -7.825073001021367 -6.910469893801266 -7.819852592734912 -5.992586718114383 -6.904513729053392 -inf
"Ms Seeberg , according NCR report , ` politically personally conservative , brand new member College Republicans led parish youth group spoke openly saving marriage . '",-5.441233008173473 -5.041604439641932 -inf -6.266253095897362 -5.765388650120081 -6.449702131963739 -inf -inf -7.871635431314357 -7.851860116668347 -7.879065921782886 -inf -7.862192020690394 -6.648736598192305 -7.272972458374205 -5.985814367446084 -7.8398963778497235 -7.83033373154395 -7.872007557175603 -7.864327021755735 -7.8511537411974635 -7.852082388158808 -7.823188487605118 -7.272426037003181 -7.26875410820235 -inf -inf
"Notre Dame officials moved quickly portray woman scorned , ` aggressive young woman lied get back sexually rejecting first moment ever alone together , ' NCR reported .",-4.797478619735363 -4.758043385292706 -6.644474748229062 -6.431394965020724 -7.268027212148931 -7.851623726961692 -6.927142137287946 -7.272493588260418 -inf -inf -7.831975698316352 -6.25337392423377 -6.927142137287946 -7.825012198960912 -6.435174499951806 -7.789348355443622 -7.2590549931523665 -7.88098169238971 -7.257177669466404 -7.853547477871797 -7.271142208008791 -7.830103512530912 -7.782290618509787 -inf -inf -5.765388650120081 -6.918696312086765 -inf
"The alleged attacker history misbehaviour reputation hot head , even suspended high school misbehaviour , said NCR .",-4.813336632402851 -5.992586718114383 -7.27189961008583 -7.267623293255772 -7.2800916866512155 -7.854037774134607 -7.813431070755719 -7.823719559896196 -inf -5.999348534131445 -7.2819933594942645 -7.807702697504889 -6.108771581039523 -7.2800916866512155 -inf -5.1911203522989995 -5.765388650120081 -inf
"Several inconsistencies stories told involved muddled truth , maybe separate truths -- based perception . Whatever case , prosecutor never pressed charges , player never named moved life - Lizzy Seeberg ended 's .",-7.815643722753592 -7.865335634259424 -7.872636434689019 -5.997611343140875 -7.275263318252253 -7.802269787069891 -7.8651198318219695 -inf -7.829343881332846 -7.8222932684522 -7.872765077889259 -inf -7.25138630702712 -7.868592204436088 -inf -7.29648398155772 -6.261510606455229 -inf -7.268598538080319 -6.276541454201129 -7.848555693589168 -7.28218597326948 -inf -5.7768302531022275 -6.276541454201129 -7.833773214800442 -6.431394965020724 -6.910469893801266 -inf -5.987743741451911 -5.041604439641932 -7.835936378910173 -inf -inf
"No punishment : The still unnamed player involved miss single game , even played January 's National Championship Notre Dame 's Fighting Irish football team -LRB- blue gold -RRB-",-7.837291401889506 -7.8593379991639445 -inf -4.813336632402851 -6.911117673209033 -7.844928884863968 -5.7768302531022275 -7.275263318252253 -7.7936164345724395 -7.280286440075192 -6.607979520192711 -inf -5.999348534131445 -6.88795308225005 -7.273421319553905 -inf -6.905884234943745 -7.841651803605355 -4.797478619735363 -4.758043385292706 -inf -7.865744537745972 -7.861186257769037 -5.51677570912726 -7.2753875557124985 -5.300198655388769 -7.841878088184864 -7.862955207719846 -5.304967795466348
"Where Ms Seeberg wrote felt ` uncomfortable ' pulled closer attacker dancing room others present forced lap dance , others told investigators ` rather forward dancing young man ; dancing . '",-7.875054337385799 -5.441233008173473 -5.041604439641932 -5.889001183311737 -6.632292499538368 -inf -6.9163644485363145 -inf -7.282720653158608 -7.847123308163141 -7.27189961008583 -6.6504613255426195 -7.891238165364937 -6.64344028052739 -7.865094839677511 -7.826240239538262 -6.651166709019982 -6.900872433706645 -inf -6.64344028052739 -5.997611343140875 -7.870417730390366 -inf -7.224936047006792 -7.7988670991672455 -6.6504613255426195 -6.25337392423377 -7.89238300590667 -inf -6.6504613255426195 -inf -inf
"` He told give lap dance I n't know , ' Ms Seeburg wrote report .",-inf -6.123982683482817 -5.997611343140875 -7.8119846009121074 -6.651166709019982 -6.900872433706645 -inf -inf -6.42834257702319 -inf -inf -5.441233008173473 -6.912007587340082 -5.889001183311737 -6.449702131963739 -inf
Notre Dame officials refused comment allegations confronted NCR reporter Melinda Henneberger .,-4.797478619735363 -4.758043385292706 -6.644474748229062 -7.276283060854821 -7.280749938630585 -6.115734667397615 -7.83230940447588 -5.765388650120081 -7.275151175498577 -7.817823157300245 -7.867750374445568 -inf
"The day Chicago Tribune made Ms Seeberg 's allegations subsequent suicide public -- almost three months fact -- Notre Dame football coach joked media conference call ` n't know Tribune could afford reporters peppering questions case , ' according NCR . Coach Kelly even suspend player question accusations looked , played every game , part every single practice .",-4.813336632402851 -6.9340926857530345 -7.274004379444452 -7.281810315760746 -6.103300809650919 -5.441233008173473 -5.041604439641932 -inf -6.115734667397615 -7.818338437180184 -7.278140927637766 -6.427435377734463 -inf -7.268188839601507 -6.876778813560727 -7.2916050809936985 -7.273788303248286 -inf -4.797478619735363 -4.758043385292706 -5.51677570912726 -6.899979172822409 -7.858156622981846 -7.8254332385998 -7.869205199885876 -7.860479047076494 -inf -inf -6.42834257702319 -7.281810315760746 -6.656991005770039 -6.916612776437829 -7.811078882133711 -7.8279703385942945 -7.808627634062328 -6.261510606455229 -inf -inf -6.266253095897362 -5.765388650120081 -inf -6.899979172822409 -6.8948718943867595 -5.999348534131445 -7.837833502892368 -5.7768302531022275 -7.841912285760804 -6.6464286820702405 -7.260470801747691 -inf -6.88795308225005 -6.438018403620374 -6.607979520192711 -inf -6.636773684634575 -6.438018403620374 -7.280286440075192 -7.823663192490016 -inf
"The school addressed allegations January 2013 , admitting Huffington Post ` could acted bit quickly , ' instead apologizing failing even acknowledge allegations two years , school spokesperson took opportunity point Ms Seeberg raped , ` fact , allegation touching waist . '",-4.813336632402851 -6.108771581039523 -7.906025330132012 -6.115734667397615 -7.273421319553905 -7.282799434250338 -inf -7.83965855295927 -7.875384247240583 -7.7958373732886 -inf -6.656991005770039 -7.821577945091745 -7.82544025202318 -7.268027212148931 -inf -inf -7.820055167967765 -7.854780415619608 -7.869451395669373 -5.999348534131445 -6.644504556990628 -6.115734667397615 -7.281346982981499 -6.634963652645341 -inf -6.108771581039523 -7.26013154333157 -7.262460518862616 -7.8201642090271735 -6.435257624277061 -5.441233008173473 -5.041604439641932 -7.280248564246833 -inf -inf -7.273788303248286 -inf -7.8341171084509265 -7.847804604818186 -7.847809191713658 -inf -inf
Not acceptable : The letter writer wrote many accusations sexual abuse campus unacceptable someone ` stand right ',-7.829138102593171 -7.796177337285027 -inf -4.813336632402851 -6.263337626304226 -7.26960661504349 -5.889001183311737 -6.414748840441275 -6.6464286820702405 -5.510507286530557 -7.827980206037385 -7.275537812591342 -6.642823960106749 -6.63618219230738 -inf -7.249027502621387 -6.241333070359458 -inf
"Ms Seeberg 's case n't first one females accusing Notre Dame football players sexual assault , rape improprieties .",-5.441233008173473 -5.041604439641932 -inf -6.261510606455229 -inf -7.257177669466404 -5.975303777804589 -7.82096030054092 -7.852622237548147 -4.797478619735363 -4.758043385292706 -5.51677570912726 -6.641194425873934 -5.510507286530557 -5.992254103365342 -inf -7.836724732819735 -7.8706310918903855 -inf
"One girl accused member team raping February 2011 , girl drove hospital attack claims raped football player , NCR reported .",-5.975303777804589 -5.983059699949629 -6.259820874441973 -7.272972458374205 -7.2753875557124985 -7.838252907385049 -7.867927355414704 -7.8112041418611025 -inf -5.983059699949629 -7.8429330738268614 -7.831258769735185 -7.818168146393135 -7.262190108617708 -7.280248564246833 -5.51677570912726 -5.7768302531022275 -inf -5.765388650120081 -6.918696312086765 -inf
"That girl also urged keep quiet text messages sent players , parents told NCR .",-7.80684793009859 -5.983059699949629 -6.870610608772714 -7.880412174160175 -7.823140980549461 -7.8439515817609635 -7.872905971719643 -7.84017398706232 -7.831830127762127 -6.641194425873934 -inf -7.2996751880344135 -5.997611343140875 -5.765388650120081 -inf
"When told allegations , school administrators told shocked parents 'd get players ` knock , ' according NCR .",-7.8364362340683265 -5.997611343140875 -6.115734667397615 -inf -6.108771581039523 -7.861357252708695 -5.997611343140875 -7.261210230096605 -7.2996751880344135 -inf -6.435174499951806 -6.641194425873934 -inf -7.801223286812593 -inf -inf -6.266253095897362 -5.765388650120081 -inf
"Those numerous alleged attacks Notre Dame football players , easily found online -- widely reported .",-7.863586135087813 -7.882481996308744 -5.992586718114383 -7.827141423647385 -4.797478619735363 -4.758043385292706 -5.51677570912726 -6.641194425873934 -inf -7.289648148368692 -7.269552155251582 -7.24466562533093 -inf -7.847309326761061 -6.918696312086765 -inf
This sign holder attempted bring attention feels grave injustice .,-6.933341162834317 -5.6014285874009095 -7.256098507540482 -7.841541771164865 -6.923547167842542 -7.281522231902941 -7.830775606983821 -7.846450080717633 -7.802158643499411 -inf
"` Notre Dame , among things , chicken spine even say anything family girl blood hands , ' sign holder wrote letter Deadspin .",-inf -4.797478619735363 -4.758043385292706 -inf -7.855732949383155 -6.916417051802104 -inf -7.848241720532909 -7.8670043863397945 -5.999348534131445 -7.235466100582559 -6.667712655131257 -6.116357811943369 -5.983059699949629 -7.799187334971368 -7.254553828799065 -inf -inf -5.6014285874009095 -7.256098507540482 -5.889001183311737 -6.263337626304226 -6.915715715409515 -inf
Notre Dame officials able reached MailOnline comment .,-4.797478619735363 -4.758043385292706 -6.644474748229062 -7.855486233470438 -7.829254262522478 -7.841693317481452 -7.280749938630585 -inf
@highlight,-7.877095084903179
"Despite widespread outrage , claims sign meant bring attention case , others whose accusations sexual assault University Notre Dame ignored covered",-7.248760862964336 -7.813198551782255 -6.899243167483481 -inf -7.262190108617708 -5.6014285874009095 -7.271060531110671 -6.923547167842542 -7.281522231902941 -6.261510606455229 -inf -6.64344028052739 -7.28910183569348 -6.6464286820702405 -5.510507286530557 -5.992254103365342 -5.436079017216711 -4.797478619735363 -4.758043385292706 -7.2774703113081936 -7.85006672047393
@highlight,-7.877095084903179
"Lizzy Seeberg , 19 , freshman small Catholic college across street Notre Dame",-5.987743741451911 -5.041604439641932 -inf -7.251483141401385 -inf -7.228233562058474 -7.2883841689828746 -6.2567244313120804 -5.985814367446084 -7.266480284434157 -7.287715242113534 -4.797478619735363 -4.758043385292706
@highlight,-7.877095084903179
"Ms Seeberg history anxiety depression , overdosed prescribed medication kill",-5.441233008173473 -5.041604439641932 -7.267623293255772 -7.266651193706325 -7.27577515269366 -inf -7.26608693757672 -7.28163626953175 -7.784700960073079 -7.8423195204713405
@highlight,-7.877095084903179
"Notre Dame administration refused two years even acknowledge accusations , outside A JOKE made football coach Brian Kelly",-4.797478619735363 -4.758043385292706 -7.7937087721757985 -7.276283060854821 -7.281346982981499 -6.634963652645341 -5.999348534131445 -6.644504556990628 -6.6464286820702405 -inf -7.85892284873823 -inf -7.840831465530004 -6.103300809650919 -5.51677570912726 -6.899979172822409 -7.852013133789127 -6.8948718943867595
@highlight,-7.877095084903179
"The football player accused assault never suspended , never missed game allowed attend practices",-4.813336632402851 -5.51677570912726 -5.7768302531022275 -6.259820874441973 -5.992254103365342 -6.276541454201129 -7.2819933594942645 -inf -6.276541454201129 -7.8320137794755125 -6.607979520192711 -6.651610102349727 -7.834558120108246 -7.84045611022372
@highlight,-7.877095084903179
"The trip Notre Dame 's last Michigan , student felt need ` stand 's right '",-4.813336632402851 -7.851725014472035 -4.797478619735363 -4.758043385292706 -inf -6.619569024672159 -5.987730661037161 -inf -6.113834255907705 -6.632292499538368 -7.291791863650065 -inf -7.249027502621387 -inf -6.241333070359458 -inf
"For identical twins , lives could hardly different .",-7.386521999586048 -6.438287568503484 -5.963616133600915 -inf -7.36430123760706 -6.802586318312512 -7.398603916144859 -6.171638285902361 -inf
"Jalila Henry , 21 , described ` party girl ' drinks smokes , wears revealing outfits enjoys watching The Only Way Essex .",-5.646638575132716 -5.95112580799298 -inf -6.80810870484496 -inf -6.181212808730721 -inf -6.170140437053658 -6.187388579654632 -inf -6.4393871147933925 -6.442592161145124 -inf -6.1808472484624835 -6.798636441274709 -7.36035511203308 -7.402866161920366 -7.367725327708468 -5.811670471523335 -7.3396543542551145 -7.407059599558988 -7.387204791285953 -inf
"In stark contrast , Muslim convert sister , Jamila , teetotal , wears traditional headscarf spends spare time studying Koran .",-6.766719718268598 -6.782856616582302 -6.444537133405043 -inf -6.179235565199008 -7.40145050893511 -6.178679087740312 -inf -5.301349531813351 -inf -6.806481503972349 -inf -6.1808472484624835 -7.380358873468018 -6.789798244257376 -7.385312828062498 -7.380097063000016 -7.36568394599312 -7.37609607102726 -6.814326867233338 -inf
"Jamila Henry , left , detained Turkey suspicion trying join ISIS . Her twin sister Jalila stark contrast described party girl smokes drinks",-5.301349531813351 -5.95112580799298 -inf -7.369559644018698 -inf -7.408533130716371 -6.1721651049938835 -6.808116945162645 -6.787274212825921 -5.974464013137177 -6.4580052191337565 -inf -6.818870437918397 -6.195356477460831 -6.178679087740312 -5.646638575132716 -6.782856616582302 -6.444537133405043 -6.181212808730721 -6.170140437053658 -6.187388579654632 -6.442592161145124 -6.4393871147933925
But week involved extraordinary case mistaken identity Jamila seized Turkish security services allegedly en route join jihadi group Islamic State -- travelling twin 's passport .,-7.359068462880461 -6.463693229710612 -7.405477991328344 -7.364058529029749 -7.346865529421052 -7.405940293769869 -7.3591736011210935 -5.301349531813351 -6.804497620469898 -5.791136888538806 -6.173876264766072 -6.150980592307429 -6.802803778712631 -6.436654538153625 -6.453697060273321 -5.974464013137177 -7.3838803558975314 -7.389161522076628 -6.190514245537562 -6.183148821510388 -inf -6.803878840254808 -6.195356477460831 -inf -6.426423274170046 -inf
Confusion arose Britain Turkish authorities named arrested woman Jalila -- prompting one relative joke likely ended country getting carried away night partying .,-7.3454851993073715 -7.373817256638099 -7.324875388438096 -5.791136888538806 -6.172884201840461 -7.385291718402178 -6.816334242809081 -6.7861437956905 -5.646638575132716 -inf -7.395375763243655 -5.969391656582319 -7.380082497362965 -7.368786433867225 -7.420948675837701 -7.374485069524001 -7.3397367066467964 -6.80140245760736 -7.367382467013286 -7.352134763460273 -6.807262741237215 -6.426425325124386 -inf
"Jamila remained Turkey last night awaiting deportation hearings get back UK , could face arrest suspicion preparing acts terrorism .",-5.301349531813351 -7.396083113415472 -6.1721651049938835 -6.450194256732291 -6.807262741237215 -6.806927464100718 -6.814326306393689 -7.334985756934134 -6.429093906340981 -6.831049977554321 -6.794901555750083 -inf -6.802586318312512 -7.3697091713838585 -6.184401755569049 -6.808116945162645 -7.383644739079924 -7.409491238220368 -7.380059818113065 -inf
British authorities believed played part arrest decision arrest made Turkish agents .,-6.8049479666500785 -6.172884201840461 -7.360936780379198 -7.398573338600945 -6.789294613846797 -6.184401755569049 -7.369853307357132 -6.184401755569049 -7.401965394099931 -5.791136888538806 -6.797950019704565 -inf
"Daughters painter decorator father council housing officer mother , Henry twins described ` popular polite ' youth .",-7.407830809417663 -7.344546246316372 -7.375411470664455 -6.815527172085643 -7.365605778301566 -7.369136932718216 -7.3894424837714245 -6.77130647298899 -inf -5.95112580799298 -5.963616133600915 -6.181212808730721 -inf -7.382287333762593 -7.389213247866389 -inf -7.422557613740004 -inf
"It claimed Jamila tried travel Syria using sister 's passport , pictured",-7.363104982222069 -7.368466747340478 -5.301349531813351 -7.359119860471275 -6.79339086687533 -6.1816036349260175 -7.366121373624512 -6.178679087740312 -inf -6.426423274170046 -inf -7.342133569245284
"A fellow pupil Sellincourt Primary School Wandsworth , South London , said : ` They nice , friendly , hard-working girls . I ca n't imagine one ever wanting join Islamic State . '",-inf -7.37966471560849 -7.385956158752714 -7.389476155660766 -7.395239686692634 -7.356984792614951 -7.36585122048365 -inf -6.180288535127738 -5.972644151760897 -inf -5.957727537669399 -inf -inf -6.797916373155233 -7.328975028388758 -inf -7.418405174328042 -inf -6.687398778304648 -7.3434348756212025 -inf -inf -7.371094555767226 -inf -7.394764267427742 -5.969391656582319 -7.35185732090581 -7.40297449426966 -5.974464013137177 -6.190514245537562 -6.183148821510388 -inf -inf
"But twins grew , began head different directions .",-7.359068462880461 -5.963616133600915 -7.3378305332576 -inf -7.3780894575371825 -5.791322806554871 -6.171638285902361 -7.369536702594263 -inf
Pictures Jalila 's Facebook page show smoking -- joking comments friends ` weed head ' .,-6.807899236603628 -5.646638575132716 -inf -7.36617760814758 -7.355597313191338 -6.442538030827528 -7.395232834398803 -inf -7.392125322918431 -7.402051676124237 -7.35617502884444 -inf -7.390131390861946 -5.791322806554871 -inf -inf
Other photos show bar clutching two bottles drink going wearing short skirts bikini tops .,-7.376235754234779 -7.357810553997204 -6.442538030827528 -7.366035344956643 -7.350525031780523 -7.357850784304388 -7.378738052715574 -7.359281643615144 -7.368454550795419 -6.446262006747949 -7.420046003865353 -7.383552264345757 -7.370142734749565 -7.3742813836485865 -inf
"Her ` likes ' include reality TV shows modern musicians rap stars , including Eminem . In contrast , pictures Jamila show dressed head scarf .",-6.818870437918397 -inf -7.372383666201937 -inf -7.370746581565547 -7.374609629100692 -7.40134656037292 -7.404298507702797 -7.347649636155073 -7.3809847158795785 -7.375626423172518 -7.332052560822988 -inf -7.386760686071748 -7.3699490767544535 -inf -6.766719718268598 -6.444537133405043 -inf -6.807899236603628 -5.301349531813351 -6.442538030827528 -7.400531107700404 -5.791322806554871 -7.400534094219036 -inf
